ID,ISCO,major_job,job,position,location,description
10,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist,"Aldermaston, Berkshire","[' Market leading contributory pension scheme Generous holiday entitlement (270 hours a year plus every other Friday off) Flexible working hours Salary sacrifice scheme Consideration for either full time or part time hours. Just let us know on your application if you wish to work part time Relocation package available (terms and conditions apply) ', ' Developing and executing plasma and high-energy-density physics experiments at AWE’s Orion laser and at international laser and/or XFEL facilities, to test, underwrite and validate theoretical models and in-house physics codes Using and developing existing or new computational tools to predict and analyse experimental data Teamwork with relevant communities across AWE Working with international partners and external stakeholders Preparing detailed proposals and technical reports on experiments and their analysis Due to the unique nature of the work involved, training will be provided to enable inexperienced candidates to pick up the knowledge and skills necessary to work in the role. ', ' A degree in a physical science (ideally with maths and physics ‘A’ Level or equivalent) Enthusiasm for, or experience, in working in the area of high energy density science Experience in undertaking technical research projects and conducting technical assessments to draw sound scientific conclusions. At interview the candidate will be expected to present on a technical project they have undertaken. Conversant in the use of desktop computers and familiarity with standard IT products A clear and concise communication approach, both oral and written Good interpersonal skills A methodical approach to complex problem solving using scientific knowledge ']"
11,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Physicist/Optical Scientist/Engineer Technology Development,"Regensdorf, Zurich","[' PhD in physics or engineering (optical, microtechnology) or MSc with experience Expertise in physical modeling, simulation, and algorithm development Interest in light sensors and cameras Optical engineering know-how Proficiency with mathematical and simulation tools, in particular MATLAB Strong conceptual skills and a passion for systems and solutions thinking Excellent command of German and English Experience with image processing considered a plus Coding experience in C/C++ is considered a plus Experience in color science is considered a plus Experience with optical design SW is considered a plus ']"
12,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist,Cambridge,[' You will have experience with microfluidic chip design. Familiarity with fluorescence microscopy. Strong academics in physics or a closely related field. Any knowledge of Python for data analysis purposes would be highly beneficial. ']
13,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist,Cambridge,"[' You will have experience with microfluidic chip design. Familiarity with fluorescence microscopy. Strong academics in physics or a closely related field. Any knowledge of Python for data analysis purposes would be highly beneficial. ', ' Agency: Newton Colmore Consulting Reference: MLNC-TW49583 ', ' Posted: 15th November 2021 Expires: 13th December 2021 ']"
14,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Microfluidics Physicist,Cambridge,"[' Agency: Newton Colmore Consulting Reference: MPESC05 ', ' Posted: 12th November 2021 Expires: 10th December 2021 ']"
15,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,OSS PHYSICIST,"Bergen, Vestland","[' New product development, including both experimental and analytical tasks Planning and execution of experimental work including testing, data analysis and reporting Contributing to technical support, design reviews, sales supportandmanufacturing support Tasks will be a mixture of small independently executed tasksandproject work inlarger multidisciplinary teams ', ' Main place of work will beSandslioffices with occasional travel to the assembly and testfacilities atHorsoy. Occasional requirements to travel within Norway and abroad ', ' MSc or PhD degree in Physics or related field Minimum5years of relevant experience, preferably within engineering orR&D ', ' Multiphase flow, fluid dynamics, flow measurement and modelling, flow loop testing Data analysis, signal processing, mathematical modelling, uncertainty analysis, CFD Nuclear physics applied to gamma densitometry and process measurements ', ' Microwave sensors and modelling Fluid properties, flow assurance and PVT models ', ' Creative and solution oriented, with good communication skills ', ' Able to work efficiently both in teams and autonomously Fluent in English, spoken and written ', ' International working environment and career opportunities ', ' Opportunity to learn and grow within the company Great colleagues anda good working environment Competitive salary and benefits ']"
16,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Accelerator Physicist,"Villigen PSI, Aargau","[' You have an academic degree in physics or engineering with profound knowledge of applied accelerator physics You have a demonstrated ability to compute beam optics and other parameters relevant to beam performance You have experience in experimental techniques and data analysis in the context of beam measurements You enjoy working in a diverse team and communicate efficiently in English. If you do not speak German, you are willing to strive for at least a basic level in that language ']"
17,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied Physicist (Computing) (EP-LBC-2021-125-LD),Geneva,"[' Be in charge of the development of application software, in the context of the needs of the LHCb core and distributed computing groups. Be able to act as liaison between the requirements of LHCb data analysts interfacing with LHCb distributed computing infrastructure. Be using, possibly refactoring, testing, diagnosing, optimizing and integrating existing software, and while doing so you are expected to know about software life-cycle tools and procedures. Be in charge of creating new software solutions, or fully replace existing ones. Work within a small team of applied physicists and software developers. ', ' Demonstrated working experience in software development using the Python programming language. Extensive hands-on experience of software and techniques for High Energy Physics data analysis. Experience with the DIRAC software is a plus. ', ' Development of application software: in particular for distributed computing. Knowledge of programming techniques and languages: (mainly Python). Re-use, refactoring, integration and porting of existing software. Knowledge and application of software life-cycle tools and procedures. Testing, diagnosing and optimization of software. ', "" Achieving results: having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: being open to original ideas and creative options by which to address issues; continually driving change by seeking new ways to improve outcomes; addressing complex problems by breaking them down into manageable components. Demonstrating flexibility: readily absorbing new techniques and working practices; proposing new or improved ways of working; demonstrating openness to new ideas and situations. Working in teams: cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Learning and sharing knowledge: proposing ways to improve or streamline existing procedures, processes and methodologies; being receptive to others' ideas and building on them. "", ' Ability to draw-up technical specifications and/or scientific reports and to make oral presentations in English. Ability to understand and speak French in professional contexts, or the willingness to acquire it. ', ' Work in Radiation Areas. Interventions in underground installations. Work during nights, Sundays and official holidays, when required by the needs of the Organization. ']"
18,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied Physicist (Computing) (EP-LBC-2021-125-LD),Geneva,"[' Be in charge of the development of application software, in the context of the needs of the LHCb core and distributed computing groups. Be able to act as liaison between the requirements of LHCb data analysts interfacing with LHCb distributed computing infrastructure. Be using, possibly refactoring, testing, diagnosing, optimizing and integrating existing software, and while doing so you are expected to know about software life-cycle tools and procedures. Be in charge of creating new software solutions, or fully replace existing ones. Work within a small team of applied physicists and software developers. ', ' Demonstrated working experience in software development using the Python programming language. Extensive hands-on experience of software and techniques for High Energy Physics data analysis. Experience with the DIRAC software is a plus. ', ' Development of application software: in particular for distributed computing. Knowledge of programming techniques and languages: (mainly Python). Re-use, refactoring, integration and porting of existing software. Knowledge and application of software life-cycle tools and procedures. Testing, diagnosing and optimization of software. ', "" Achieving results: having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: being open to original ideas and creative options by which to address issues; continually driving change by seeking new ways to improve outcomes; addressing complex problems by breaking them down into manageable components. Demonstrating flexibility: readily absorbing new techniques and working practices; proposing new or improved ways of working; demonstrating openness to new ideas and situations. Working in teams: cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Learning and sharing knowledge: proposing ways to improve or streamline existing procedures, processes and methodologies; being receptive to others' ideas and building on them. "", ' Ability to draw-up technical specifications and/or scientific reports and to make oral presentations in English. Ability to understand and speak French in professional contexts, or the willingness to acquire it. ', ' Work in Radiation Areas. Interventions in underground installations. Work during nights, Sundays and official holidays, when required by the needs of the Organization. ']"
19,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Trapped ION Physicist- Quantum Computing,Oxford,"["" A PHD level or equivalent relevant experience in a physics, computer science or engineering related field Experience in at least one of 'trapped ion chip modelling & design' or 'high fidelity ion trap microwave-based gates' Technical knowledge in Quantum Computing Strong communication skills with the ability to influence internal staff and end users Significant knowledge of the implementation of high performance or quantum computing Computer literate with skills and experience in the use of MS Office ""]"
20,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist / Engineer for Electron Optics Tuning and Monitoring (m/f/d),Vienna,"[' Act as an operational engineer and build a complete and broad understanding of multi-beam mask writers. Operation, calibration and optimization of the electron beam. Data analysis and tool status evaluation. Implementation and documentation of experiments at the tool. Fly around the world to customer factories for 2-3 weeks at a time to recalibrate customer production tools. Be able to work independently to correlate trends across the fleet of deployed tools. Internal and external communication about the progress of tool optimization. Conduct trainings on tool operation and calibration. On-call service for troubleshooting. ', ' A Bachelor\'s Degree (or equivalent) in: Physics, Electrical Engineering, Process Engineering or a related field Very good spoken and written English. Experience in using office programs and Unix (Linux) Python and Jira experience is preferred. Deliberate and organized work style with a ""hands on"" mentality Willingness to be deployed abroad for an average of four months per year. (eg 2-3 weeks at a time). ', ' Responsibility and the opportunity to perform independent tasks in a dynamic company. A young and motivated intercultural team with short channels. Excellent professional and personal development opportunities in an international company. The possibility of a lucrative permanent posting abroad for 2 years after training. Annual gross salary: from EUR 42.000, open to negotiation depending on professional qualifications and experience. Overtime hours and on-call remunerated on top (no all-in contract). ']"
21,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Experimental Physicist / Engineer for Electron Optics Validation (m/f/d),Vienna,"[' Build a complete and broad understanding of multi-beam mask writers Operation, calibration and optimization of the electron beam mask writer Implementation and documentation of experiments at the tool Prepare and carry out internal and external acceptance tests on the mask writer Factory Acceptance Testing at the IMS factory in Brunn am Gebirge Site Acceptance Testing at customer sites around the world Internal and external communication about the progress of tool optimization Data analysis and tool status evaluation Validation process improvement and optimization Troubleshooting and bug-fixing Pass down of all tool information and issues to the implemented systems JIRA and Confluence Conduct trainings on tool operation and calibration On-call service for troubleshooting ', ' A Master\'s Degree (or equivalent) in: Physics, Electrical Engineering, Process Engineering or a related field Experience in Unix (Linux) Python, JIRA and Confluence or equivalent experience is preferred Very good spoken and written English Deliberate and organized work style with a ""hands on"" mentality Consolidated problem-solving skills Willingness to be deployed abroad for a maximum of six months per year. (6-8 weeks at a time) ', ' Growing High-Tech Company with headquarter in Austria and international branches (Taiwan, Korea, USA) Top equipped workplace (modern office, laptop, height adjustable desk, very good canteen Responsibility and the opportunity to perform independent tasks in a dynamic company. A young and motivated intercultural team with short communication channels. Excellent professional and personal development opportunities. Career opportunity as technical expert. Annual gross salary: from EUR 45,000 open to negotiation depending on qualifications and experience. Overtime hours, travel expenses and on-call remunerated on top (no all-in contract). ']"
22,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Mathematical Physicist,"Aldermaston, Berkshire","[' Market leading contributory pension scheme Generous holiday entitlement 270 hours a year (inclusive of Bank Holidays) plus every other Friday off Flexible working hours Salary sacrifice scheme Consideration for either full time or part time hours. Just let us know on your application if you wish to work part time Relocation package available (terms and conditions apply) ', ' Planning and delivery of technical assessments using appropriate methodologies Planning, development, validation and verification of mathematical models and software codes Engagement with relevant communities across AWE, specifically a cross-company team focused on modelling HEVR and its effect on relevant geometries Contribute to interactions with international partners and external stakeholders in the field ', ' Degree or equivalent experience in Physics, Mathematics or other numerate discipline Experience in undertaking scientific research in either a university or industrial context A methodical approach to complex problem solving using technical knowledge A clear and concise communication approach, both oral and written The ability to prioritise a varied workload; ensuring timely delivery with minimum supervision Experience in scientific programming using languages such as Fortran, C++, Python or a similar high-level language, and of working in the Unix/Linux environment A specialism in one or more of the following areas is advantageous: ', ' Using bespoke software to complete detailed analyses of physical problems Theoretical modelling of Mechanical and Thermodynamic systems Finite Element Analysis Hydrodynamics Physics and Chemistry of Explosives ']"
23,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied physicist for Particle Sources (SY-STI-LP-2021-124-LD),Geneva,"[' Design, develop, operate and maintain laser systems comprising high repetition rate pump lasers, wavelength-tunable titanium-sapphire and dye lasers, non-linear frequency conversion devices, optical systems for laser beam transport and diagnostics used in production of diverse ion beams at the isotopes separation facilities; Conduct the laser spectroscopy research work required for development of new ion beams and radioactive isotope science; Take responsibility for the off-line laser ion source installations; Contribute to the development of the RILIS method, upgrade and consolidation of laser installations, improvement of the laser beams and ion source performance; Contribute to the production of radioisotopes for medical applications by operating the laser installation of MEDICIS ion beam facility; Participate in European and international R&D networks on laser technology applications for particle sources and spectroscopy of radioactive isotopes; Define research objectives, supervise students and graduated researchers. ', ' Demonstrated experience in the field of laser resonance ionization spectroscopy; Extensive experience with operation and maintenance of laser equipment; Experience with optical and particle beam measurement techniques; Experience with LabVIEW based data acquisition and test systems; Experience with modern techniques for simulation of charged particles and plasma in electromagnetic fields would be an advantage. ', ' Knowledge and application of beam production techniques, in particular laser resonance ionization; Simulation, design and development of laser based systems; Simulation, design and development of optical systems; Operation and support of experimental facilities; Knowledge and application of instrumentation and measurement techniques. ', ' Achieving results: delivering high quality work on time and fulfilling expectations; having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: recognizing what is essential; discriminating between important and peripheral information and being able to see the whole picture; testing solutions for long-term suitability, cross-checking with all concerned before implementation. Working in teams: working well in groups and readily fitting into a team; participating fully and taking an active role in team activities; cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Learning and sharing knowledge: keeping up-to-date with developments in own field of expertise and readily absorbing new information; sharing knowledge and expertise freely and willingly with others; coaching others to ensure knowledge transfer. ', ' Spoken and written English: ability to draw-up technical specifications and/or scientific reports, and/or to make oral presentations. Basic knowledge of French language or an undertaking to acquire it rapidly. ', ' Participation in a regular stand-by duty, including nights, Sundays and official holidays. Work in Radiation Areas. Interventions in underground installations. Work during nights, Sundays and official holidays, when required by the needs of the Organization. Shift work, when required by the needs of the Organization. ']"
24,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied physicist for Particle Sources (SY-STI-LP-2021-124-LD),Geneva,"[' Design, develop, operate and maintain laser systems comprising high repetition rate pump lasers, wavelength-tunable titanium-sapphire and dye lasers, non-linear frequency conversion devices, optical systems for laser beam transport and diagnostics used in production of diverse ion beams at the isotopes separation facilities; Conduct the laser spectroscopy research work required for development of new ion beams and radioactive isotope science; Take responsibility for the off-line laser ion source installations; Contribute to the development of the RILIS method, upgrade and consolidation of laser installations, improvement of the laser beams and ion source performance; Contribute to the production of radioisotopes for medical applications by operating the laser installation of MEDICIS ion beam facility; Participate in European and international R&D networks on laser technology applications for particle sources and spectroscopy of radioactive isotopes; Define research objectives, supervise students and graduated researchers. ', ' Demonstrated experience in the field of laser resonance ionization spectroscopy; Extensive experience with operation and maintenance of laser equipment; Experience with optical and particle beam measurement techniques; Experience with LabVIEW based data acquisition and test systems; Experience with modern techniques for simulation of charged particles and plasma in electromagnetic fields would be an advantage. ', ' Knowledge and application of beam production techniques, in particular laser resonance ionization; Simulation, design and development of laser based systems; Simulation, design and development of optical systems; Operation and support of experimental facilities; Knowledge and application of instrumentation and measurement techniques. ', ' Achieving results: delivering high quality work on time and fulfilling expectations; having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: recognizing what is essential; discriminating between important and peripheral information and being able to see the whole picture; testing solutions for long-term suitability, cross-checking with all concerned before implementation. Working in teams: working well in groups and readily fitting into a team; participating fully and taking an active role in team activities; cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Learning and sharing knowledge: keeping up-to-date with developments in own field of expertise and readily absorbing new information; sharing knowledge and expertise freely and willingly with others; coaching others to ensure knowledge transfer. ', ' Spoken and written English: ability to draw-up technical specifications and/or scientific reports, and/or to make oral presentations. Basic knowledge of French language or an undertaking to acquire it rapidly. ', ' Participation in a regular stand-by duty, including nights, Sundays and official holidays. Work in Radiation Areas. Interventions in underground installations. Work during nights, Sundays and official holidays, when required by the needs of the Organization. Shift work, when required by the needs of the Organization. ']"
25,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Applied Physicist: Electronic Materials & Devices,"Huntingdon, Cambridgeshire","[' Evaluation of technologies from potential partner start-up companies. Execution of project plans to evaluate novel materials and devices. Propose and complete experimental work to test devices and materials using a range of standard and novel techniques, including the design of test equipment and experimental protocols where appropriate. Recommend external organisations to gain access to facilities, equipment or external experts to supplement internal capabilities where required and work with them to complete the evaluation. Participate in the internal innovation processes, initiate idea generation and develop new ideas and business opportunities, evaluate their potential both in terms of technical and business feasibility. Prepare and present project plans for internal innovation projects and carry out the necessary work to demonstrate the feasibility. Development of scientifically sound hypotheses for increased device and material performance across a wide range of different application areas. ', ' Working closely with internal teams to evaluate potential partners of interest and evaluate their technology. Design and propose experiments, to evaluate promising materials and devices in the proposed applications. Completion of practical experimentation to characterise performance for the desired application with lab-based measurements and specialist tools where appropriate. Development of hypotheses for poor device performance and make proposals for improvements to address the identified issues. Development of novel evaluation techniques and measurement systems for materials and devices. Fabricate test structures to evaluate materials of interest in company laboratory facilities following standard procedures. Devise new procedures where appropriate. Propose and implement changes to devices and test systems to investigate issues or demonstrate performance improvements. Includes working with outside partners and consultants where appropriate. Carry out or oversee experiments at partner organisations where in house evaluation is not possible. Rigorous analysis of experimental results to draw conclusions and propose directions for further development or collaboration. Clearly report findings and formulate recommendations either within or outside the organisation. Take active part in ideation events to develop new project ideas aligned with market needs, sustainability goals, business alignment and novel material ideas. ', ' A PhD, or degree with equivalent research experience, in an applied physical science or a related discipline. Experience in electronic materials or electronic devices is required. Experience with electronic circuits and systems, either to aid device understanding or development is required. Creative, inventive with an aptitude for experimental work and solving complex problems. A demonstr ']"
26,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,Accelerator Physicist (BE-ABP-LNO-2021-122-LD),Geneva,"[' Contribute to the maintenance and development of the optics models and repository for the CERN hadron injector rings. Study and optimize operational conditions for the hadron injector rings to improve their performance aided by beam dynamics simulations. Provide optics support to other CERN present and future synchrotrons and colliders including the LHC and its high-luminosity upgrade. ', "" Identify fundamental limitations in the LHC injector rings' performance and plan medium or long-term improvements. Contribute to the definition of operational conditions in Run 4 and to the optimization of the performance reach, including beam-based optimizations. Design and conduct experiments in the existing CERN synchrotrons to validate the concepts developed. "", ' Work during nights, Sundays and official holidays, when required by the needs of the Organization. Work in radiation-controlled areas when required by the needs of the Organization. ', ' Demonstrated experience of working in a scientific environment, preferably in the design and/or operation of particle accelerators. Experience of accelerator physics, with demonstrated ability in the field of optics design. Experience of experimental techniques and analysis of data from beam measurements. Experience with development of single-particle beam dynamics simulation codes. ', ' Experience with one of the following codes: MAD-X (see here ', ' Simulation, design and development of (part of) particle accelerators. Analysis and optimization of accelerator performance. Knowledge and application of single-particle dynamics. Knowledge and application of non-linear beam dynamics. Knowledge and application of optics correction techniques. ', ' Achieving results: Having a structured and organised approach towards work; being able to set priorities and plan tasks with results in mind. Solving problems: Assimilating large quantities of information, identifying key issues and formulating conclusions clearly and concisely. Working in teams: Cooperating constructively with others in the pursuit of team goals; balancing personal goals with team goals. Communicating effectively: Expressing opinions, ideas and suggestions with conviction and in a logical/structured manner; keeping to the point. Demonstrating accountability: Taking responsibility for own actions and decisions. ']"
27,21,SCIENCE AND ENGINEERING PROFESSIONALS,physicist,"Physicist, Modeling Intern","Clamart, Hauts-de-Seine","["" Master's degree - 2nd year or final year of Engineering School "", ' Fluid Mechanics Applied Mathematics ']"
